Lon,Lat,Vs30,Z2.5,Z1.0
177.062655,-38.64923684,913.881,0.491423391,11.65773163
177.072655,-38.64923684,863.464,0.524384899,14.47624913
177.082655,-38.64923684,928.877,0.482357894,10.95554897
177.092655,-38.64923684,1000,0.44331618,8.266183244
177.102655,-38.64923684,1000,0.44331618,8.266183244
177.112655,-38.64923684,1000,0.44331618,8.266183244
177.122655,-38.64923684,1000,0.44331618,8.266183244
177.132655,-38.64923684,1000,0.44331618,8.266183244
177.142655,-38.64923684,1000,0.44331618,8.266183244
177.152655,-38.64923684,1000,0.44331618,8.266183244
177.162655,-38.64923684,1000,0.44331618,8.266183244
177.172655,-38.64923684,1000,0.44331618,8.266183244
177.182655,-38.64923684,1000,0.44331618,8.266183244
177.192655,-38.64923684,1000,0.44331618,8.266183244
177.202655,-38.64923684,1000,0.44331618,8.266183244
177.212655,-38.64923684,1000,0.44331618,8.266183244
177.222655,-38.64923684,988.929,0.448998297,8.625139551
177.232655,-38.64923684,969.251,0.459441799,9.313086494
177.242655,-38.64923684,989.147,0.448885093,8.617883678
177.252655,-38.64923684,1000,0.44331618,8.266183244
177.262655,-38.64923684,1000,0.44331618,8.266183244
177.272655,-38.64923684,1000,0.44331618,8.266183244
177.312655,-38.64923684,926.195,0.483956135,11.07713662
177.322655,-38.64923684,914.217,0.491216777,11.64138735
177.332655,-38.64923684,833.195,0.546234855,16.58682091
177.342655,-38.64923684,853.761,0.531208286,15.11393294
177.352655,-38.64923684,570.713,0.842115496,69.21902248
177.362655,-38.64923684,684.936,0.683486577,34.94673567
177.372655,-38.64923684,857.698,0.528419738,14.85101098
177.382655,-38.64923684,950.395,0.469884634,10.03846153
177.392655,-38.64923684,998.961,0.4438437,8.299059884
177.402655,-38.64923684,1000,0.44331618,8.266183244
177.412655,-38.64923684,1000,0.44331618,8.266183244
177.422655,-38.64923684,1000,0.44331618,8.266183244
177.432655,-38.64923684,1000,0.44331618,8.266183244
177.022655,-38.65923684,1000,0.44331618,8.266183244
177.032655,-38.65923684,1000,0.44331618,8.266183244
177.042655,-38.65923684,1000,0.44331618,8.266183244
177.052655,-38.65923684,1000,0.44331618,8.266183244
177.062655,-38.65923684,985.125,0.450982291,8.753000205
177.072655,-38.65923684,975.56,0.456044291,9.085223421
177.082655,-38.65923684,989.799,0.448546841,8.596228512
177.092655,-38.65923684,1000,0.44331618,8.266183244
177.102655,-38.65923684,1000,0.44331618,8.266183244
177.112655,-38.65923684,1000,0.44331618,8.266183244
177.122655,-38.65923684,1000,0.44331618,8.266183244
177.132655,-38.65923684,1000,0.44331618,8.266183244
177.142655,-38.65923684,1000,0.44331618,8.266183244
177.152655,-38.65923684,1000,0.44331618,8.266183244
177.162655,-38.65923684,1000,0.44331618,8.266183244
177.172655,-38.65923684,1000,0.44331618,8.266183244
177.182655,-38.65923684,1000,0.44331618,8.266183244
177.192655,-38.65923684,1000,0.44331618,8.266183244
177.202655,-38.65923684,1000,0.44331618,8.266183244
177.212655,-38.65923684,983.289,0.451945755,8.815567245
177.222655,-38.65923684,802.982,0.56981009,19.09455827
177.232655,-38.65923684,650.795,0.72465853,42.39624282
177.242655,-38.65923684,918.701,0.488474964,11.42600819
177.252655,-38.65923684,1000,0.44331618,8.266183244
177.262655,-38.65923684,1000,0.44331618,8.266183244
177.272655,-38.65923684,1000,0.44331618,8.266183244
177.282655,-38.65923684,1000,0.44331618,8.266183244
177.292655,-38.65923684,1000,0.44331618,8.266183244
177.302655,-38.65923684,1000,0.44331618,8.266183244
177.312655,-38.65923684,1000,0.44331618,8.266183244
177.322655,-38.65923684,972.307,0.457790186,9.201823632
177.332655,-38.65923684,738.279,0.62729137,26.29049782
